FID,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Area
0,3,5,54,1779805,54,WV,West Virginia,0,G4000,A,62265662566,489840834,38.6472854,-80.6183274,24230
1,3,5,12,294478,12,FL,Florida,0,G4000,A,138911437206,31398800291,28.4574302,-82.4091478,65757.203125
2,2,3,17,1779784,17,IL,Illinois,0,G4000,A,143784114293,6211277447,40.1028754,-89.1526108,57913.5
3,2,4,27,662849,27,MN,Minnesota,0,G4000,A,206229176104,18944967530,46.3158148,-94.1996628,86940.203125
4,3,5,24,1714934,24,MD,Maryland,0,G4000,A,25150696145,6980371026,38.9466584,-76.6744939,12405.9003906
5,1,1,44,1219835,44,RI,Rhode Island,0,G4000,A,2677997539,1323452846,41.5974187,-71.5272723,1544.9699707
6,4,8,16,1779783,16,ID,Idaho,0,G4000,A,214048160737,2393355752,44.3484222,-114.5588538,83568.5
7,1,1,33,1779794,33,NH,New Hampshire,0,G4000,A,23187445452,1028643155,43.6726907,-71.5843145,9349.8798828
8,3,5,37,1027616,37,NC,North Carolina,0,G4000,A,125919712692,13470113896,35.53971,-79.1308636,53818.6992188
9,1,1,50,1779802,50,VT,Vermont,0,G4000,A,23873457570,1031134839,44.0604795,-72.6733274,9615.7197266
10,1,1,9,1779780,9,CT,Connecticut,0,G4000,A,12542619303,1815495323,41.5798637,-72.7466572,5543.7001953
11,3,5,10,1779781,10,DE,Delaware,0,G4000,A,5047241079,1398670234,38.9986239,-75.441692,2488.7800293
12,4,8,35,897535,35,NM,New Mexico,0,G4000,A,314191415563,733669653,34.4346843,-106.1316181,121593
13,4,9,6,1779778,6,CA,California,0,G4000,A,403483182192,20484637928,37.1551773,-119.5434183,163695
14,1,2,34,1779795,34,NJ,New Jersey,0,G4000,A,19049723313,3542963551,40.1072744,-74.6652012,8723.0898438
15,2,3,55,1779806,55,WI,Wisconsin,0,G4000,A,140275464079,29359527964,44.6309071,-89.7093916,65496.3984375
16,4,9,41,1155107,41,OR,Oregon,0,G4000,A,248604328809,6195045325,43.9717125,-120.6229578,98378.6015625
17,2,4,31,1779792,31,NE,Nebraska,0,G4000,A,198957965731,1370523694,41.5433014,-99.8118616,77347.296875
18,1,2,42,1779798,42,PA,Pennsylvania,0,G4000,A,115881477379,3397554419,40.9024957,-77.8334514,46053.8984375
19,4,9,53,1779804,53,WA,Washington,0,G4000,A,172111800165,12560067439,47.4073238,-120.5757999,71302.203125
20,3,7,22,1629543,22,LA,Louisiana,0,G4000,A,111904803121,23746413153,30.8634368,-91.7987173,52375.1992188
21,3,5,13,1705317,13,GA,Georgia,0,G4000,A,149177524294,4733385577,32.6295789,-83.4235109,59425.3007813
22,3,6,1,1779775,1,AL,Alabama,0,G4000,A,131174431216,4592944701,32.7396323,-86.8434593,52420.1015625
23,4,8,49,1455989,49,UT,Utah,0,G4000,A,212884846341,7000199770,39.3349925,-111.6563326,84898.1015625
24,2,3,39,1085497,39,OH,Ohio,0,G4000,A,105833282399,10264451012,40.4149297,-82.7119975,44825.6015625
25,3,7,48,1779801,48,TX,Texas,0,G4000,A,676641930188,19017521093,31.4347032,-99.2818238,268596
26,4,8,8,1779779,8,CO,Colorado,0,G4000,A,268425964573,1178495763,38.9938482,-105.5083165,104095
27,3,5,45,1779799,45,SC,South Carolina,0,G4000,A,77862731483,5071381300,33.8741776,-80.8542639,32021
28,3,7,40,1102857,40,OK,Oklahoma,0,G4000,A,177664450004,3373087228,35.5900512,-97.4868149,69899
29,3,6,47,1325873,47,TN,Tennessee,0,G4000,A,106798015774,2354836197,35.8585557,-86.349358,42144.1992188
30,4,8,56,1779807,56,WY,Wyoming,0,G4000,A,251465641446,1860628076,42.9918024,-107.5419255,97809.796875
31,4,9,15,1779782,15,HI,Hawaii,0,G4000,A,16634117742,11777681513,22.0120383,-159.7059653,10969.9003906
32,2,4,38,1779797,38,ND,North Dakota,0,G4000,A,178710423375,4400396641,47.442174,-100.4608258,70699.5
33,3,6,21,1779786,21,KY,Kentucky,0,G4000,A,102266092821,2388731561,37.5336844,-85.2929801,40407.5
34,9,0,78,1802710,78,VI,United States Virgin Islands,0,G4000,A,348013711,1550244357,18.3267484,-64.9712505,732.9219971
35,9,0,69,1779809,69,MP,Commonwealth of the Northern Mariana Islands,0,G4000,A,472284356,4644260632,14.9367835,145.601021,1975.5100098
36,9,0,66,1802705,66,GU,Guam,0,G4000,A,543558310,934334983,13.4382886,144.7729493,570.617981
37,1,1,23,1779787,23,ME,Maine,0,G4000,A,79885808421,11748168571,45.4092789,-68.6665979,35380.1015625
38,1,2,36,1779796,36,NY,New York,0,G4000,A,122048992746,19247151848,42.9133974,-75.5962723,54554.6992188
39,4,8,32,1779793,32,NV,Nevada,0,G4000,A,284329327067,2047350803,39.3310928,-116.6151469,110571
40,4,9,2,1785533,2,AK,Alaska,0,G4000,A,1478588231566,277723861311,63.2813242,-152.5730397,678116
41,9,0,60,1802701,60,AS,American Samoa,0,G4000,A,197759070,1307243753,-14.2668475,-170.6671854,581.085022
42,2,3,26,1779789,26,MI,Michigan,0,G4000,A,146488062160,103998746281,44.8441757,-85.660493,96713.3984375
43,3,7,5,68085,5,AR,Arkansas,0,G4000,A,134768100673,2963631791,34.8955256,-92.4446262,53178.5
44,3,6,28,1779790,28,MS,Mississippi,0,G4000,A,121530256608,3930182746,32.6864714,-89.6561377,48440.5
45,2,4,29,1779791,29,MO,Missouri,0,G4000,A,178052037005,2488190402,38.35075,-92.4567826,69707
46,4,8,30,767982,30,MT,Montana,0,G4000,A,376960880222,3871059371,47.0511771,-109.6348174,147040
47,2,4,20,481813,20,KS,Kansas,0,G4000,A,211753159949,1346325556,38.4985464,-98.3834298,82278.203125
48,2,3,18,448508,18,IN,Indiana,0,G4000,A,92787765193,1539541677,39.9030256,-86.2839503,36420
49,9,0,72,1779808,72,PR,Puerto Rico,0,G4000,A,8868734851,4922543816,18.217648,-66.4107992,5324.8398438
50,2,4,46,1785534,46,SD,South Dakota,0,G4000,A,196345228871,3384471850,44.4467957,-100.2381762,77116.1015625
51,1,1,25,606926,25,MA,Massachusetts,0,G4000,A,20204287539,7130763257,42.1565196,-71.4895915,10554.0996094
52,3,5,51,1779803,51,VA,Virginia,0,G4000,A,102254240128,8532012665,37.5222512,-78.6681938,42774.8007813
53,3,5,11,1702382,11,DC,District of Columbia,0,G4000,A,158351639,18675956,38.9041031,-77.017229,68.3507004
54,2,4,19,1779785,19,IA,Iowa,0,G4000,A,144664158135,1081293682,42.0700243,-93.4933473,56272.6015625
55,4,8,4,1779777,4,AZ,Arizona,0,G4000,A,294198661567,1027245114,34.2039355,-111.6063565,113987
